country;1900;1910;1920;1930;1940;1949;1950;1951;1952;1953;1954;1955;1956;1957;1958;1959;1960;1961;1962;1963;1964;1965;1966;1967;1968;1969;1970;1971;1972;1973;1974;1975;1976;1977;1978;1979;1980;1981;1982;1983;1984;1985;1986;1987;1988;1989;1990;1991;1992;1993;1994;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015
Colombia;4.109;5.02;6.395;8.144;9.442;NaN;12.341;12.7;13.065;13.439;13.825;14.225;14.642;15.075;15.526;15.995;16.48;16.982;17.5;18.034;18.582;19.144;19.721;20.311;20.905;21.491;22.061;22.612;23.147;23.675;24.208;24.757;25.323;25.905;26.502;27.114;27.738;28.376;29.027;29.687;30.35;31.012;31.67;32.324;32.976;33.624;34.272;34.917;35.559;36.195;36.824;37.442;38.049;38.645;39.234;39.819;40.404;40.989;41.572;42.152;42.724;43.286;43.836;44.375;44.902;45.416;45.918;46.406;46.881;47.342;47.791;48.229
Congo, Dem. Rep.;8.728;9.315;9.946;10.625;11.35;NaN;12.184;12.429;12.681;12.944;13.223;13.518;13.83;14.161;14.509;14.872;15.248;15.638;16.041;16.462;16.904;17.37;17.862;18.378;18.913;19.459;20.01;20.563;21.121;21.691;22.282;22.902;23.557;24.243;24.948;25.656;26.357;27.049;27.741;28.448;29.191;29.986;30.829;31.722;32.689;33.763;34.963;36.309;37.784;39.315;40.804;42.184;43.425;44.558;45.648;46.788;48.049;49.449;50.971;52.602;54.315;56.09;57.927;59.835;61.809;63.845;65.939;68.087;70.291;72.553;74.877;77.267
Cote d'Ivoire;1.863;1.991;2.129;2.279;2.439;NaN;2.63;2.693;2.758;2.828;2.901;2.979;3.063;3.153;3.251;3.358;3.475;3.602;3.741;3.89;4.05;4.22;4.4;4.591;4.794;5.011;5.242;5.488;5.748;6.021;6.308;6.606;6.916;7.237;7.57;7.912;8.266;8.629;9.002;9.383;9.769;10.158;10.548;10.94;11.337;11.745;12.166;12.601;13.047;13.5;13.954;14.404;14.852;15.296;15.728;16.138;16.518;16.865;17.185;17.492;17.803;18.133;18.486;18.862;19.262;19.685;20.132;20.604;21.103;21.622;22.157;22.702
Cuba;1.762;2.269;3.067;3.919;4.672;NaN;5.92;6.051;6.18;6.305;6.424;6.539;6.652;6.765;6.881;7.005;7.141;7.29;7.45;7.618;7.787;7.952;8.11;8.264;8.413;8.563;8.715;8.87;9.025;9.176;9.315;9.438;9.544;9.635;9.711;9.777;9.835;9.884;9.926;9.967;10.017;10.083;10.168;10.269;10.379;10.486;10.582;10.665;10.736;10.798;10.853;10.906;10.955;11.0;11.042;11.081;11.117;11.151;11.185;11.215;11.241;11.261;11.275;11.284;11.29;11.297;11.308;11.324;11.343;11.363;11.379;11.39
Czech Republic;7.399;7.676;7.963;8.259;8.567;NaN;8.903;9.005;9.106;9.2;9.283;9.353;9.41;9.457;9.497;9.536;9.579;9.627;9.679;9.731;9.773;9.801;9.812;9.809;9.801;9.799;9.811;9.84;9.883;9.937;9.996;10.058;10.122;10.189;10.251;10.303;10.338;10.354;10.353;10.34;10.326;10.316;10.311;10.311;10.315;10.319;10.324;10.328;10.334;10.338;10.339;10.336;10.327;10.314;10.298;10.281;10.263;10.244;10.225;10.212;10.212;10.231;10.271;10.33;10.398;10.46;10.507;10.534;10.545;10.545;10.543;10.543
Dominican Republic;0.53;0.705;0.906;1.289;1.718;NaN;2.365;2.438;2.517;2.601;2.689;2.781;2.876;2.976;3.079;3.185;3.294;3.406;3.521;3.639;3.758;3.879;4.001;4.125;4.25;4.376;4.503;4.631;4.76;4.889;5.019;5.15;5.281;5.412;5.544;5.676;5.809;5.944;6.079;6.215;6.352;6.489;6.627;6.765;6.903;7.043;7.184;7.326;7.469;7.611;7.753;7.892;8.029;8.163;8.296;8.429;8.563;8.697;8.832;8.968;9.103;9.238;9.371;9.504;9.636;9.768;9.898;10.027;10.155;10.281;10.406;10.528
Ecuador;1.455;1.682;1.869;2.043;2.583;NaN;3.47;3.561;3.655;3.752;3.853;3.957;4.066;4.179;4.297;4.419;4.546;4.677;4.813;4.954;5.099;5.25;5.406;5.566;5.731;5.9;6.073;6.249;6.429;6.612;6.798;6.987;7.179;7.374;7.572;7.773;7.976;8.183;8.393;8.606;8.824;9.046;9.273;9.504;9.739;9.977;10.218;10.461;10.706;10.951;11.196;11.441;11.683;11.925;12.164;12.399;12.629;12.853;13.072;13.29;13.51;13.735;13.967;14.205;14.448;14.691;14.935;15.177;15.419;15.661;15.903;16.144
Egypt;10.065;11.36;13.103;15.293;17.849;NaN;20.897;21.383;21.904;22.458;23.043;23.656;24.296;24.959;25.645;26.35;27.072;27.81;28.561;29.323;30.094;30.873;31.661;32.457;33.252;34.038;34.809;35.561;36.302;37.047;37.816;38.624;39.479;40.378;41.325;42.322;43.37;44.466;45.61;46.807;48.062;49.374;50.748;52.174;53.618;55.036;56.397;57.69;58.922;60.108;61.273;62.435;63.596;64.755;65.923;67.113;68.335;69.6;70.909;72.248;73.596;74.942;76.274;77.605;78.976;80.442;82.041;83.788;85.661;87.614;89.58;91.508
Ethiopia;8.993;10.318;11.856;13.651;15.718;NaN;18.128;18.467;18.82;19.184;19.56;19.947;20.348;20.764;21.201;21.662;22.151;22.671;23.221;23.798;24.397;25.014;25.641;26.281;26.945;27.654;28.415;29.246;30.135;31.029;31.855;32.569;33.145;33.614;34.053;34.569;35.24;36.093;37.11;38.259;39.494;40.776;42.097;43.47;44.909;46.434;48.057;49.785;51.603;53.478;55.367;57.237;59.076;60.893;62.708;64.55;66.444;68.393;70.391;72.432;74.507;76.608;78.736;80.892;83.08;85.302;87.562;89.859;92.191;94.558;96.959;99.391
France;40.629;41.295;39.07;41.663;40.928;NaN;41.88;42.071;42.366;42.724;43.118;43.528;43.947;44.376;44.828;45.319;45.866;46.471;47.122;47.782;48.403;48.952;49.411;49.792;50.127;50.466;50.844;51.274;51.741;52.214;52.648;53.011;53.293;53.51;53.685;53.858;54.053;54.279;54.528;54.799;55.085;55.38;55.687;56.005;56.328;56.643;56.943;57.227;57.495;57.75;57.992;58.224;58.443;58.653;58.867;59.108;59.387;59.712;60.076;60.465;60.859;61.242;61.61;61.966;62.31;62.641;62.961;63.268;63.562;63.845;64.121;64.395
